title,category
조성은  샤넬 오픈런 하는 나라서 영부인 의상 논란  제니 송민호 유튜버도 드는 게 명품 ,Politics
조성은  샤넬백 줄서서 사는 나라에서 영부인 옷 지적  우습다 ,Politics
 윤석열 깐부  강조한 권영진 대구시장   선 도전 포기 홍준표 김재원 양강구도,Politics
권영진 대구시장  선 불출마 선언 홍준표  빅딜 현실화하나,Politics
안철수  윤 당선인과 독대  총리 안맡겠다  오늘 거취 밝힌다,Politics
안철수 포기에 당선인 측  총리인선  지금부터 속도 ,Politics
박홍근  대통령 집무실 이전 적극 협조 법적 근거도 만들자 ,Politics
박홍근  국힘 블랙리스트 수사 촉구에    보복 수사 지시한 것 ,Politics
 아는 기자     회동 급반전  막전막후  김부겸 역할은,Politics
 아는 기자      대선 후   일 만에 만남 신구권력 충돌 종료 ,Politics
 아는 기자   손 들어준 감사원     회동 물꼬 트이나,Politics
 아는 기자  년 만에 공개 행보   정치복귀 하나 ,Politics
SK하이닉스  키파운드리 인수  공정거래위원회 승인 받아,Economic
공정위  SK하이닉스 키파운드리 기업결합 승인,Economic
SK하이닉스  키파운드리 품는다  공정위 기업결합 승인,Economic
공정위  SK하이닉스 키파운드리 인수 승인,Economic
아시아나  ESG 위원회 신설 대표이사 이사회 의장 분리,Economic
아시아나항공  기업가치 한 단계 높인다  ESG위원회  신설,Economic
아시아나항공  ESG 위원회 설립  지배구조 개선 박차 ,Economic
신한라이프   ESG 위원회  신설  ESG경영 적극 실천 의지 표명 ,Economic
 인 창조기업  년 연속 증가세,Economic
 인 창조기업   만곳 평균 매출액  억 천   만원,Economic
 아이디어가 무기   인 창조기업 평균매출    억   전년비       ,Economic
 적성 찾아서   고소득 올리려   인 창조기업   만사 넘어,Economic
 친환경 전환 성장동력 발굴  지난해 기업 결합     건 돌파    년만에 최대,Economic
지난해 기업결합 심사  천 건 넘어 역대 최다,Economic
한국인 평균 키 커졌다    년 전보다 남성    여성은   ,Economic
  평균 키   년 전보다      커졌지만 단두형 두상은 여전,Economic
 제보하면 최대   억 포상  현대해상  보험사기 제보 캠페인 실시,Economic
 보험사기 신고 최대   억 포상  참다 못한 보험사가 나섰다,Economic
올해 첫 청년 신혼부부 매입임대주택    일부터 신청,Economic
시세 절반에  년 거주가능 청년 신혼부부 임대주택     호 풀린다,Economic
국토부 산업부    곳 산단 경쟁력강화사업지구 지정,Economic
 산업단지 대개조 사업   년 만에 본궤도,Economic
삼성  차세대 반도체 위해 미국 웨스턴디지털과 손잡는다,Economic
삼성전자  웨스턴디지털과 차세대 스토리지 분야 힘 합친다,Economic
비트코인  한때  만 천달러 회복 연중 최고치,Economic
 비트코인 직접 투자 vs ETF 투자  뭐가 더 유리할까 ,Economic
카카오뱅크 주담대  한달여만에  천억원 돌파  다음 달 초 대상 확대 ,Economic
 주담대도 모바일로  분 만에 끝   카뱅 주담대 한달만     억 돌파,Economic
현대차 아람코  내연기관차용 친환경 엔진 연료 공동개발,Economic
현대차  사우디 아람코와 친환경 엔진 연료 개발한다 종합 ,Economic
 외환브리핑 우크라 협상 기대 환율      원대 하향 이탈 전망,Economic
 외환브리핑 환율  이틀째     원대 전망 달러화 초강세,Economic
 외환브리핑   연준 긴축 폭풍 우려 환율      원대 상승 재시도,Economic
 외환브리핑 유가하락 위험선호 환율      원대 하락 전환 예상,Economic
펀엔씨  반려동물 동반 출근을 위한 환경 조성  복지혜택 파격 지원,Social
서울시   월부터 저소득층 반려동물 장례비용 지원,Social
반려동물 사체 쓰레기 봉투 담아 버리는 문화 고치자  서울시 장례비 지원,Social
서울시가 저소득층 반려동물 장례 지원 나선 이유,Social
울산 영양실조 사망   개월 여아 부모 구속기소,Social
검찰  두 살배기 딸 굶겨 숨지게 한 혐의 친모와 계부 구속기소,Social
두 살 아이가  kg    딸 굶겨 숨지게 한 친모 계부 구속기소,Social
울산서  세 유아 영양실조로 숨져     대 부모 기소,Social
경찰   김정숙 여사 옷값 의혹  고발 수사 착수,Social
김정숙 여사  옷값 논란  고발사건  서울청 반부패수사대 배당,Social
김정숙 여사 옷값 고발  서울청 반부패수사대에 배당,Social
김정숙 여사 옷값 논란  경찰 직접 수사 착수,Social
정준호  광주시장 출마  새 빛 광주  전국을 넘어 세계로 ,Social
정준호  광주시장 출마 선언  광주가 중앙을 선도하는 정치해야 ,Social
정준호 변호사  광주광역시장 출마 공식 선언,Social
정준호  차기 정권 창출 주역 되겠다  광주광역시장 출마 선언,Social
 보험금 노려 가평 계곡서 남편 살해  혐의   대 여성 공범 공개수배 ,Social
생명보험금  억 노린 가평 용소계곡 살인범 공개수사,Social
폐유 탱크가  펑  용접 노동자  명 사망,Social
경찰  노동자  명 숨진 안산 폭발사고 폐기물업체 현감 감식,Social
국내 서식 라쿤  체내에 마이크로칩 심는다,Social
외래 야생동물 라쿤  내장 등록 관리 협약 체결,Social
 퇴짜  맞은 법무부 원안대로 업무보고 인수위와  차 충돌 ,Social
법무부  수사지휘권 문제 공감 새정부 법령개정 적극 참여  종합 ,Social
 김학의 출금 수사 외압  이성윤 측  검찰 자신감 결여 ,Social
 공소장 자신없나   수사외압  재판서 되레   때린 이성윤측,Social
울산 서부권에    만여  규모  알프스관광단지    호텔 콘도 등     년 준공,Social
울주 삼동면 일대  울산 알프스 관광단지 로 만든다,Social
코로나   신규 확진자   만명  소아 백신접종  예약률      ,Social
김부겸 총리  내일부터     세 소아 대상 기초접종 시작 ,Social
코로나 먹는치료제 처방 확대로 중증화율 완화,Social
 먹는 치료제  팍스로비드  만  천 명분 추가 도입 라게브리오   천 명 투약,Social
전국 학생 확진자  한주 간   만여명 전면등교 학교    ,Social
 주간 전국 학생   만    명 확진돼 소폭 감소     등교,Social
시민단체  서울교통공사에  자의적 광고규정 즉각 개정하라 ,Social
성소수자 세월호 단체  서울교통공사   표현의 자유 침해  광고규정 개정해야 ,Social
  주일에 최소  회 폭언  화장실도 제대로 못 가  콜센터 실태  씁쓸 ,Social
저임금 감정노동에 콜센터 상담노동자      극단적선택 생각 ,Social
e스포츠 대회  리그오브레전드 MSI   월 부산 개최,Social
LoL 국제 대회 MSI  올해 부산에서 열린다,Social
최사라에게 장애란  짜릿한 스키를 타게 해준  고마운 계기  논설위원의 단도직입 ,Social
 약자 연결되면 큰 파도 갈라치기 나쁜 정치는 역풍 두려워해야  논설위원의 단도직입 ,Social
변희수 이예람 사망  년  그동안 무엇이 달라졌나   논설위원의 단도직입 ,Social
 반크  중 일의 심해진 역사왜곡 대응하며 맷집 세지고 패기 커져  논설위원의 단도직입 ,Social
 그룹  스트레이 키즈      빌보드       위 문화광장 ,Culture
한국은  등 안에도 못든다  BTS 소비국  의외의  등  K팝 세계화 리포트 ,Culture
스트레이키즈  빌보드      위  JYP Ent 장중  신고가  경신,Culture
 JYP  신고가 경신   스트레이키즈 빌보드  위 ET라씨로 ,Culture
미쉐린코리아  포뮬러E 노하우 담은  미쉐린 파일롯 스포츠 EV  출시,Culture
테슬라 쓰는 미쉐린 고성능전기차 타이어  국내 출시,Culture
미쉐린코리아  고성능 전기차 위한  미쉐린 파일롯 스포츠 EV  출시,Culture
이것이 고성능  전기차 전용 타이어  미쉐린    파일롯 스포츠 EV  출시,Culture
 전국 봄비 큰 일교차 주의하세요 날씨 ,Culture
 내일 흐리고 전국  봄비  내륙 곳곳 안개 예상 날씨 ,Culture
 김민철의 꽃이야기  부지런한 귀룽나무 새 잎  꽃보다 예쁘더라,Culture
 김민철의 꽃이야기  지금 우리 산하에 피는 야생화  가지,Culture
 김민철의 꽃이야기  매향 서향  하동 쌍계사에 가득한 봄꽃 향기,Culture
 김민철의 꽃이야기  서울에도 매화 개화  베스트 감상 명소는 ,Culture
 강갑생의 바퀴와 날개  가덕신공항 임기 중 완공  공약보다  사타 부터 검증을,Culture
 강갑생의 바퀴와 날개  가덕신공항 조속 추진 공약했지만 곧 나올  사타 부터 따져봐야,Culture
기내 화재 어떡하죠  실전 진화훈련 국내 한곳  항공사 어디 강갑생의 바퀴와 날개 ,Culture
 강갑생의 바퀴와 날개  핵심 비껴간  목적지 미표시  논란 밤 시간 택시 부족부터 풀어야,Culture
일 고교  교과서  조선인 강제연행  표현 뺐다,IT
 고노 담화  팽개친 일본 교과서에 위안부 관련  일본군 종군  삭제,IT
  역사 교과서  위안부 강제연행 등 정부 입김에  최다 수정 ,IT
동북아역사재단  일 교과서  강제연행  삭제로 불법성 은폐 ,IT
젤렌스키  러 협상 긍정적 공격은 여전  경계 못 늦춰 ,IT
젤렌스키  평화 협상 긍정 신호 경계 태세는 계속 ,IT
젤렌스키  평화협상 긍정신호 러 공격 없어지진 않아 ,IT
젤렌스키  평화협상 긍정적 대러 제재는 전쟁종식까지 계속해야 ,IT
러시아  수도 키이우 등에서 군사활동 대폭 축소 ,IT
러 우크라  평화협상 급진전    키이우 공격 대폭 축소 ,IT
러  키이우서 군사활동 대폭 축소     푸틴 젤렌스키 회담 가능성,IT
러 우크라 평화협상 진전  군사활동 축소 ,IT
첼시 구단주  우크라 평화회담 후 독극물 중독 증세,IT
평화협상 나선 우크라 러 관리자  독극물 중독 증상,IT
사우디   아랍에미리트  러시아 OPEC  퇴출 어려워 ,IT
사우디  유가 안정위해 OPEC  정치 무개입 원칙 유지,IT
  러 제재냐 지지냐   의 침묵 언제까지 갈까 글로벌포커스 ,IT
중국 중소기업  서방기업 떠난 러시아서 기회 모색,IT
블록체인 게임  액시 인피니티  해킹 이더리움 등     억원 상당 탈취당해,IT
인기 P E게임  액시인피니티 서 암호화폐     억원 해커에 도난,IT
     세 이상에  차 접종 승인  오미크론 하위 변이가 우세종 ,IT
 FDA    세 이상 화이자 모더나 백신  차접종 승인 ,IT
러시아  군사활동 축소  발표  바이든  지켜보겠다 ,IT
바이든  러시아 측 군사활동 축소 발표에  지켜볼 것 ,IT
코미디언 뺨 후려친 윌 스미스   선 넘었다 진심으로 후회 ,IT
 내가 선 넘었다  윌 스미스  시상식 폭력  공식사과,IT
WFP  식량 위기  참사 이상의 참사  보게될 것 ,IT
 WFP  식량 위기  참사 이상의 참사  보게될 것  우크라 침공 ,IT
푸틴도 막지 못한 트럼프 인기 바이든  노답 ,IT
    년   대선 가상 대결  트럼프가 바이든에 승리 ,IT
 뉴스딱        만 원   시민권 보장  문자에 탱크까지 넘긴 러 군인,IT
 뉴스딱   명에게 새 삶 주고 떠난  살 차하람 군,IT
 뉴스딱  달랑 고기 한 점 든 호텔 갈비탕  가격은 ,IT
 뉴스딱  한국 휘발윳값  비교해 보니 세계 평균보다     비싸,IT
콘텐츠 IP 산업 정책 로드맵 구체화된다,World
한국콘텐츠진흥원  콘텐츠 지적재산 산업 육성 자문위 발족,World
문체부 콘진원  콘텐츠 IP 활성화 자문위 발족,World
 IP금융 성장위해 IP담보대출보험 도입 필요 ,World
알아서 돌아다니며 공기살균까지 AI방역로봇 시대 열린다,World
KT  AI 방역로봇 출시 플랫폼 기반 서비스로 로봇 시장 공략,World
KT AI로봇사업단  년    로봇 플랫폼 사업자 되겠다 ,World
병원 공공기관에 KT AI 방역로봇 월   만   만원대 종합 ,World
화웨이  지난해 R D   조원  역대급 투자    제재 저탄소화 대응 전략 ,World
 통신사업 호조  화웨이 작년 순익     ,World
 중소기업 보안 역량 높이자    과기부  올해  천   곳 지원,World
과기정통부  중소기업 정보보호 지원 확대 올해     개사 대상,World
KINX   년 연속  중기 클라우드 서비스 이용지원 사업  공급기업 선정,World
네이버클라우드   핵심산업 클라우드 플래그십 프로젝트  인프라 기업 선정,World
공동펀드 만들고 경영헌장 제정하고 기업에 부는 ESG경영,World
ESG 경영 잰걸음  통신 사    억 펀드 공동 조성,World
NHN  위메이드 블록체인 게임에 기술 지원,World
NHN  블록체인 P E 게임  라이즈 오브 스타즈 에 게임베이스 적용,World
SKB  B B 미디어 사업 확대 올리브영 이마트  와 협업,World
SK브로드밴드  온애드 온에어로  B B 미디어 사업 확대 ,World
 이덕환의 과학세상  소비자의 안전을 위한 정부와 기업의 책무,World
 이덕환의 과학세상  합리적인 에너지 전환이 필요하다,World
 이덕환의 과학세상   년 전으로 되돌아간 방역시계,World
 이덕환의 과학세상    년 만에 되살아난  교차지원 의 망령,World
 이구순의 느린걸음   가상자산  이름부터 새로 짓자,World
 이구순의 느린걸음  디지털플랫폼 정부  강한 정부CTO 세워야,World
 이구순의 느린걸음  정부 첫 가상자산 통계는 정책 청구서다,World
 이구순의 느린걸음  차기정부 디지털 정책  더 절실해져야,World
